group_name,leader_name,contact_name,address,tel,is_group,delete_flag,start,end,organizer_number,participant_number,purpose,admission_fee,places_id,place_number,users_id
,清水雄太,清水雄太,稚内市若葉台1-2290-28,+819012345678,0,0,2022-02-28T01:00:00+09:00,2022-02-28T06:00:00+09:00,5,0,個人使用,0,1,4,1
田中将司,,田中将司,稚内市若葉台1-2290-28,+819012345678,1,0,2022-03-10T10:00:00+09:00,2022-03-10T13:00:00+09:00,5,0,個人使用,0,2,1,1
,小鳥遊祥子,小鳥遊祥子,稚内市若葉台1-2290-28,+819012345678,0,0,2022-03-15T10:00:00+09:00,2022-03-15T13:00:00+09:00,5,0,個人使用,0,3,1,1
,佐々木五郎,佐々木五郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-04-25T10:00:00+09:00,2022-04-25T13:00:00+09:00,5,0,個人使用,0,4,1,1
加藤秀樹,,加藤秀樹,稚内市若葉台1-2290-28,+819012345678,1,0,2022-05-01T10:00:00+09:00,2022-05-01T13:00:00+09:00,5,0,個人使用,0,5,1,1
,清水雄太,清水雄太,稚内市若葉台1-2290-28,+819012345678,0,0,2022-05-20T10:00:00+09:00,2022-05-20T13:00:00+09:00,5,0,個人使用,0,6,1,1
田中将司,,田中将司,稚内市若葉台1-2290-28,+819012345678,1,0,2022-06-10T10:00:00+09:00,2022-06-10T13:00:00+09:00,5,0,個人使用,0,7,1,1
,小鳥遊祥子,小鳥遊祥子,稚内市若葉台1-2290-28,+819012345678,0,0,2022-06-15T10:00:00+09:00,2022-06-15T13:00:00+09:00,5,0,個人使用,0,1,1,1
,佐々木五郎,佐々木五郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-07-25T10:00:00+09:00,2022-07-25T13:00:00+09:00,5,0,個人使用,0,1,2,1
加藤秀樹,,加藤秀樹,稚内市若葉台1-2290-28,+819012345678,1,0,2022-07-03T10:00:00+09:00,2022-07-03T13:00:00+09:00,5,0,個人使用,0,1,3,1
,清水雄太,清水雄太,稚内市若葉台1-2290-28,+819012345678,0,0,2022-08-01T10:00:00+09:00,2022-08-01T13:00:00+09:00,5,0,個人使用,0,1,4,1
田中将司,,田中将司,稚内市若葉台1-2290-28,+819012345678,1,0,2022-08-13T10:00:00+09:00,2022-08-13T13:00:00+09:00,5,0,個人使用,0,1,1,1
,小鳥遊祥子,小鳥遊祥子,稚内市若葉台1-2290-28,+819012345678,0,0,2022-08-21T10:00:00+09:00,2022-08-21T13:00:00+09:00,5,0,個人使用,0,1,2,1
,佐々木五郎,佐々木五郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-08-25T10:00:00+09:00,2022-08-25T13:00:00+09:00,5,0,個人使用,0,1,3,1
加藤秀樹,,加藤秀樹,稚内市若葉台1-2290-28,+819012345678,1,0,2022-09-03T10:00:00+09:00,2022-09-03T13:00:00+09:00,5,0,個人使用,0,1,4,1
,清水雄太,清水雄太,稚内市若葉台1-2290-28,+819012345678,0,0,2022-09-11T10:00:00+09:00,2022-09-11T13:00:00+09:00,5,0,個人使用,0,2,1,1
田中将司,,田中将司,稚内市若葉台1-2290-28,+819012345678,1,0,2022-10-04T10:00:00+09:00,2022-10-04T13:00:00+09:00,5,0,個人使用,0,3,1,1
,小鳥遊祥子,小鳥遊祥子,稚内市若葉台1-2290-28,+819012345678,0,0,2022-10-21T10:00:00+09:00,2022-10-21T13:00:00+09:00,5,0,個人使用,0,4,1,1
,佐々木五郎,佐々木五郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-11-11T10:00:00+09:00,2022-11-11T13:00:00+09:00,5,0,個人使用,0,5,1,1
加藤秀樹,,加藤秀樹,稚内市若葉台1-2290-28,+819012345678,1,0,2022-11-22T10:00:00+09:00,2022-11-22T13:00:00+09:00,5,0,個人使用,0,6,1,1
,清水雄太,清水雄太,稚内市若葉台1-2290-28,+819012345678,0,0,2022-12-05T10:00:00+09:00,2022-12-05T13:00:00+09:00,5,0,個人使用,0,7,1,1
田中将司,,田中将司,稚内市若葉台1-2290-28,+819012345678,1,0,2022-12-20T10:00:00+09:00,2022-12-20T13:00:00+09:00,5,0,個人使用,0,1,2,1
,小鳥遊祥子,小鳥遊祥子,稚内市若葉台1-2290-28,+819012345678,0,0,2022-12-25T10:00:00+09:00,2022-12-25T13:00:00+09:00,5,0,個人使用,0,1,2,1
